,Raw Tweet,Text Extraction,Hashtag Extraction,Reference Extraction,URL Extraction,Tweet Location,Tweet Time
19,RT @USEmbassyKyiv: Statement by @POTUS @BarackObama on the 20th Anniversary of the #Srebrenica Genocide http://t.co/2VTHjevApI #SrebrenicaG,  statement by   on the 20th anniversary of the srebrenica genocide  srebrenicag,"[#Srebrenica, #SrebrenicaG]","[@USEmbassyKyiv, @POTUS, @BarackObama]",[http://t.co/2VTHjevApI],"Castle Pines, CO",Sat Jul 11 11:21:03 +0000 2015
20,@BarackObama Have a good day sir, have a good day sir,[],[@BarackObama],[],,Sat Jul 11 11:20:56 +0000 2015
21,@BarackObama COOL, cool,[],[@BarackObama],[],,Sat Jul 11 11:19:34 +0000 2015
22,@BarackObama RT - We at #TEEP '15 boot camp. @TonyOElumelu giving #AfricanEntrepreneurs a voice. Tnks4championing tru #YALI #Africapitalism, rt  we at teep 15 boot camp  giving africanentrepreneurs a voice tnks4championing tru yali africapitalism,"[#TEEP, #AfricanEntrepreneurs, #YALI, #Africapitalism]","[@BarackObama, @TonyOElumelu]",[],,Sat Jul 11 11:19:08 +0000 2015
23,"RT @gafaradekunle: what a time to be an entrepreneur in Africa #TEEP @TonyOElumelu with @ProfOsinbajo VP of NGR, prime minister of Benin, R",  what a time to be an entrepreneur in africa teep  with  vp of ngr prime minister of benin r,[#TEEP],"[@gafaradekunle, @TonyOElumelu, @ProfOsinbajo]",[],,Sat Jul 11 11:19:06 +0000 2015
24,"RT @RickCanton: FREEDOM.

AS SERVED BY @BarackObama.

Drink up, #UniteBlue. Drink up.

#WakeUpAmerica #CulturalRot #tcot @POtuS http://t.co","  freedom

as served by 

drink up uniteblue drink up

wakeupamerica culturalrot tcot  ","[#UniteBlue, #WakeUpAmerica, #CulturalRot, #tcot]","[@RickCanton, @BarackObama, @POtuS]",[http://t.co],中华人民共和国,Sat Jul 11 11:18:51 +0000 2015
25,@thehill @POTUS @BarackObama @WhiteHouse  @JohnKerry  USA Citizens Must Learn from INDIA to Live in Peace with 1000Casts&amp;100Religions,       usa citizens must learn from india to live in peace with 1000castsand100religions,[],"[@thehill, @POTUS, @BarackObama, @WhiteHouse, @JohnKerry]",[],Minnesota,Sat Jul 11 11:18:50 +0000 2015
26,I will say whats obvious &amp; wot most think- @BarackObama hates #veterans &amp; all the decency they represent #PJNET http://t.co/dwGe5BLQ0n,i will say whats obvious and wot most think  hates veterans and all the decency they represent pjnet ,"[#veterans, #PJNET]",[@BarackObama],[http://t.co/dwGe5BLQ0n],Nigeria,Sat Jul 11 11:18:48 +0000 2015
27,"@barackobama @un @usa Can't i be free?or i you not enjoying freedom in your country?,l need my own country,where i we be free #biafra #ipob",   cant i be freeor i you not enjoying freedom in your countryl need my own countrywhere i we be free biafra ipob,"[#biafra, #ipob]","[@barackobama, @un, @usa]",[],Abuja Nigeria,Sat Jul 11 11:16:25 +0000 2015
28,Thank you for this wine @BarackObama http://t.co/VXXrzd7QKc,thank you for this wine  ,[],[@BarackObama],[http://t.co/VXXrzd7QKc],,Sat Jul 11 11:16:12 +0000 2015
29,RT @USEmbassyAbuja: .@BarackObama and .@TonyOElumelu are paving the way for #AfricanEntrepreneurs leading to @GES from #Lagos to Nairobi. #,   and  are paving the way for africanentrepreneurs leading to  from lagos to nairobi ,"[#AfricanEntrepreneurs, #Lagos]","[@USEmbassyAbuja, @BarackObama, @TonyOElumelu, @GES]",[],HYDERABAD  INDIA,Sat Jul 11 11:14:40 +0000 2015
30,RT @BarackObama: Read how the Obama administration plans to help renters and low-income homeowners gain easier access to solar energy: http,  read how the obama administration plans to help renters and lowincome homeowners gain easier access to solar energy http,[],[@BarackObama],[],,Sat Jul 11 11:14:25 +0000 2015
31,@RepPaulRyan Would you consider going in a different direction? http://t.co/cDHHfHouGv @BarackObama @sarahnferris, would you consider going in a different direction   ,[],"[@RepPaulRyan, @BarackObama, @sarahnferris]",[http://t.co/cDHHfHouGv],"Celer, Silens, Mortalis",Sat Jul 11 11:14:20 +0000 2015
32,Did you see it? Todays hottest tweet among people I follow http://t.co/LjtsKZu3dP by @BarackObama,did you see it todays hottest tweet among people i follow  by ,[],[@BarackObama],[http://t.co/LjtsKZu3dP],"portharcourt,nigeria",Sat Jul 11 11:13:44 +0000 2015
33,RT @thedailybeast: #GameOfThrones superfan @BarackObama is very upset about the death of Jon Snow: http://t.co/PJGgCP4qo0 http://t.co/XlZmN,  gameofthrones superfan  is very upset about the death of jon snow  ,[#GameOfThrones],"[@thedailybeast, @BarackObama]","[http://t.co/PJGgCP4qo0, http://t.co/XlZmN]",,Sat Jul 11 11:13:29 +0000 2015
34,"If you missed it, here is the most popular link among people I follow http://t.co/GUbnhlSVn6 by @BarackObama",if you missed it here is the most popular link among people i follow  by ,[],[@BarackObama],[http://t.co/GUbnhlSVn6],"Nairobi, Kenya ",Sat Jul 11 11:13:15 +0000 2015
35,@BarackObama Than fairy Shunji Yokoyama of a prince of Buddy.s family team goodwill friendship ambassador angel. Good morning., than fairy shunji yokoyama of a prince of buddys family team goodwill friendship ambassador angel good morning,[],[@BarackObama],[],Auburndale FL,Sat Jul 11 11:11:17 +0000 2015
36,http://t.co/a1jg5j5Cpu Illegals break the bank! #illegals #immigration if paid by @BarackObama it be different. http://t.co/dLSGYYbZnI, illegals break the bank illegals immigration if paid by  it be different ,"[#illegals, #immigration]",[@BarackObama],"[http://t.co/a1jg5j5Cpu, http://t.co/dLSGYYbZnI]","Livingston, New Jersey",Sat Jul 11 11:11:09 +0000 2015
37,RT@BarackObama:omgPeoplevoixespace()Trou()pdtnuagewhFRKnowKnowKnowisT,omgpeoplevoixespacetroupdtnuagewhfrknowknowknowist,[],[@BarackObama],[],Mumbai  Maharashtra India,Sat Jul 11 11:11:08 +0000 2015
38,@BarackObama To the grand United States world peace Nobel Prize prize winner United States Obama President named grand trust., to the grand united states world peace nobel prize prize winner united states obama president named grand trust,[],[@BarackObama],[],,Sat Jul 11 11:10:59 +0000 2015
39,@BarackObama sports., sports,[],[@BarackObama],[],,Sat Jul 11 11:10:26 +0000 2015
40,"@ATrimaine @BarackObama @billclinton @msnbc Bush left a secure Iraq, Obama cut and ran for political purposes, ISIS waltzed in.",    bush left a secure iraq obama cut and ran for political purposes isis waltzed in,[],"[@ATrimaine, @BarackObama, @billclinton, @msnbc]",[],,Sat Jul 11 11:10:04 +0000 2015
41,"@BarackObama On the other hand, the person is in spring to arrange a heart when it may increase that a country intervenes in the world of", on the other hand the person is in spring to arrange a heart when it may increase that a country intervenes in the world of,[],[@BarackObama],[],東京都,Sat Jul 11 11:09:29 +0000 2015
42,@Garipler2014 @Dr_MustafaCeric: Now whole Bosnia is under threat of Genocide by Russia &amp; Serbia  @PutinRF_Eng @BarackObama @MirnesKovac,  now whole bosnia is under threat of genocide by russia and serbia    ,[],"[@Garipler2014, @Dr_MustafaCeric, @PutinRF_Eng, @BarackObama, @MirnesKovac]",[],Arizona,Sat Jul 11 11:09:15 +0000 2015
43,@ATrimaine @BarackObama @billclinton @HillaryClinton @msnbc That is liberal BS...the world intelligence agencies all believed WMD existed.,     that is liberal bsthe world intelligence agencies all believed wmd existed,[],"[@ATrimaine, @BarackObama, @billclinton, @HillaryClinton, @msnbc]",[],,Sat Jul 11 11:09:14 +0000 2015
44,RT @BarackObama: #ClimateChangeIsReal. So is President Obama's 3-point game. http://t.co/M27bxCqJSG,  climatechangeisreal so is president obamas 3point game ,[#ClimateChangeIsReal],[@BarackObama],[http://t.co/M27bxCqJSG],東京都,Sat Jul 11 11:08:57 +0000 2015
45,@BarackObama: #ClimateChangeIsReal. So is President Obama's 3-point game. http://t.co/MYZ2JFuJrx@xovega_, climatechangeisreal so is president obamas 3point game httptcomyz2jfujrx,[#ClimateChangeIsReal],"[@BarackObama, @xovega_]",[http://t.co/MYZ2JFuJrx@xovega_],東京都,Sat Jul 11 11:07:58 +0000 2015
46,@BarackObama The money that a country starts to make player strong increases and expects to., the money that a country starts to make player strong increases and expects to,[],[@BarackObama],[],,Sat Jul 11 11:07:24 +0000 2015
47,"@POTUS @BarackObama We woke-up in freedom. #AmirHekmati woke up to another
day in cell in #Iran. #FreeAmirNow https://t.co/NXppfKm12m","  we wokeup in freedom amirhekmati woke up to another
day in cell in iran freeamirnow ","[#AmirHekmati, #Iran, #FreeAmirNow]","[@POTUS, @BarackObama]",[https://t.co/NXppfKm12m],東京都,Sat Jul 11 11:07:02 +0000 2015
48,Message to @David_Cameron &amp; @BarackObama #IslamicState is #Islam  Its Pure Poison.Now Grow som balls &amp; smash the Evil http://t.co/JRlrwj8zVx,message to  and  islamicstate is islam  its pure poisonnow grow som balls and smash the evil ,"[#IslamicState, #Islam]","[@David_Cameron, @BarackObama]",[http://t.co/JRlrwj8zVx],,Sat Jul 11 11:06:57 +0000 2015
49,@BarackObama YOU ROLL WITH #XO OR NAH!, you roll with xo or nah,[#XO],[@BarackObama],[],,Sat Jul 11 11:06:23 +0000 2015
50,"@BarackObama People concerned with sports have sports agency,", people concerned with sports have sports agency,[],[@BarackObama],[],,Sat Jul 11 11:06:19 +0000 2015
51,"@BarackObama Is the @LouisFarrakhan ""Economic Blueprint a SCAM?: http://t.co/mBS94FkxH7", is the  economic blueprint a scam ,[],"[@BarackObama, @LouisFarrakhan]",[http://t.co/mBS94FkxH7],"Kansas City, KS",Sat Jul 11 11:06:03 +0000 2015
52,"@BarackObama Sir, Look forward to your support in my struggle for my Daughters(EU Nationals).have sent a mail with Details. Regards", sir look forward to your support in my struggle for my daughterseu nationalshave sent a mail with details regards,[],[@BarackObama],[],"Kansas City, KS",Sat Jul 11 11:05:59 +0000 2015
53,@BarackObama The sports agency deepens the connection of the government office and aims at making it easy to do work., the sports agency deepens the connection of the government office and aims at making it easy to do work,[],[@BarackObama],[],東京都,Sat Jul 11 11:04:57 +0000 2015
54,@Rotahaber @Dr_MustafaCeric: Otherwise we have the right to get means of self-defence. GenocideNever @PutinRF_Eng @BarackObama @MirnesKovac,  otherwise we have the right to get means of selfdefence genocidenever   ,[],"[@Rotahaber, @Dr_MustafaCeric, @PutinRF_Eng, @BarackObama, @MirnesKovac]",[],,Sat Jul 11 11:04:55 +0000 2015
55,RT @RadioTimes: .@BarackObama wanted to know a big #GameofThrones spoiler. He didn't like the answer #ComicCon http://t.co/8zAAFoTQql http:,   wanted to know a big gameofthrones spoiler he didnt like the answer comiccon  http,"[#GameofThrones, #ComicCon]","[@RadioTimes, @BarackObama]",[http://t.co/8zAAFoTQql],Londonistan,Sat Jul 11 11:04:04 +0000 2015
56,@AG2Pearl @BarackObama @billclinton @HillaryClinton @msnbc ok? So if  gwb Jr makes up false evidence then what. #Obama ended it,     ok so if  gwb jr makes up false evidence then what obama ended it,[#Obama],"[@AG2Pearl, @BarackObama, @billclinton, @HillaryClinton, @msnbc]",[],,Sat Jul 11 11:04:04 +0000 2015
57,"From my friends, the person who has been the longest time on Twitter is @BarackObama, I'm in the position 209 of 1827 http://t.co/mz2qIAsyJo",from my friends the person who has been the longest time on twitter is  im in the position 209 of 1827 ,[],[@BarackObama],[http://t.co/mz2qIAsyJo],東京都,Sat Jul 11 11:03:06 +0000 2015
58,"RT @secute_jb_1d: @BarackObama @MichelleObama it would be a pleasure if you see this..

#dontgotoseaworld http://t.co/9n9gOuGl1A","    it would be a pleasure if you see this

dontgotoseaworld ",[#dontgotoseaworld],"[@secute_jb_1d, @BarackObama, @MichelleObama]",[http://t.co/9n9gOuGl1A],United Kingdom,Sat Jul 11 11:02:32 +0000 2015
59,"@Rotahaber @Dr_MustafaCeric: Ergo, Bosnia needs full membership of NATO as soon as possible.@BarackObama @PutinRF_Eng @MirnesKovac",  ergo bosnia needs full membership of nato as soon as possible  ,[],"[@Rotahaber, @Dr_MustafaCeric, @BarackObama, @PutinRF_Eng, @MirnesKovac]",[],,Sat Jul 11 11:02:27 +0000 2015
60,"@BarackObama I am divided into the government offices such as Ministry of Land, Infrastructure and Transport making a stadium and a", i am divided into the government offices such as ministry of land infrastructure and transport making a stadium and a,[],[@BarackObama],[],東京都,Sat Jul 11 11:01:50 +0000 2015
61,RT @Enit_sunts: It is good to be black @TonyOElumelu @BarackObama #TEEP @TonyElumeluFDN #AfricanEntrepreneurs @africatechie @SkottyTomi @MB,  it is good to be black   teep  africanentrepreneurs   ,"[#TEEP, #AfricanEntrepreneurs]","[@Enit_sunts, @TonyOElumelu, @BarackObama, @TonyElumeluFDN, @africatechie, @SkottyTomi, @MB]",[],,Sat Jul 11 11:00:47 +0000 2015
62,rise and shine @BarackObama,rise and shine ,[],[@BarackObama],[],"Staffordshire, England.",Sat Jul 11 11:00:44 +0000 2015
63,@WhiteHouse @BarackObama q I watt,  q i watt,[],"[@WhiteHouse, @BarackObama]",[],Ohio,Sat Jul 11 11:00:40 +0000 2015
64,"@BarackObama can I now marry my ar15? I love it ? Or mcdonalds ""I'm loving it""?", can i now marry my ar15 i love it  or mcdonalds im loving it,[],[@BarackObama],[],chennai,Sat Jul 11 11:00:03 +0000 2015
65,"@chetan_bhagat @narendramodi @barackobama 
Let us Trend by using #1CroreTreesIn1Hour On TWITTER on Saturday, 11th July, 2015 from 6-9 PM","   
let us trend by using 1croretreesin1hour on twitter on saturday 11th july 2015 from 69 pm",[#1CroreTreesIn1Hour],"[@chetan_bhagat, @narendramodi, @barackobama]",[],,Sat Jul 11 11:00:03 +0000 2015
66,@NevvalS @Dr_MustafaCeric: WholeBosnia is under threat of GenocidebyRussia &amp; Serbia  @PutinRF_Eng @BarackObama @David_Cameron @MirnesKovac,  wholebosnia is under threat of genocidebyrussia and serbia     ,[],"[@NevvalS, @Dr_MustafaCeric, @PutinRF_Eng, @BarackObama, @David_Cameron, @MirnesKovac]",[],,Sat Jul 11 10:59:11 +0000 2015
67,"@BarackObama Ministry of Health, Labour and Welfare in charge of a part of the person with a disability sports,", ministry of health labour and welfare in charge of a part of the person with a disability sports,[],[@BarackObama],[],東京都,Sat Jul 11 10:59:01 +0000 2015
